author_id,username,n_replies,n_retweets,n_author,n_quoted,n_quoting_replies,total
740637548,FredaOu,,42,,7,36,85
138418895,RedCrossAU,1,22,25,,,48
1359673388,KF5FUZ,,18,12,14,2,46
1897328731,northway_debbie,39,,2,,,41
2866982548,ellievb77,26,2,3,,,31
17381220,pauld08,14,14,1,,,29
2787826921,cunningham_cch,24,,2,,,26
1220184026410995712,JohnDoe64193515,,24,,,,24
1634512056,slsandpet,21,1,,1,,23
779814741736730624,BeattieNgiare,22,,,,,22
2611093651,PCKJ3627,22,,,,,22
2926206806,AceventsRuth,21,,,,,21
964795553610588162,AmandaEverall2,21,,,,,21
251440033,PetefromHayNSW,3,8,9,1,,21
237612784,YaThinkN,19,1,,1,,21
2733971311,43a6f0ce5dac4ea,18,2,,,,20
576451623,Cobra1A,11,7,2,,,20
22752608,cefy,16,,2,2,,20
983508625,geoffrey_payne,20,,,,,20
119189335,NZRedCross,12,,5,2,,19
