author_id,username,n_retweets,n_authored,n_replies,n_quoted,total
29453773,BroyleTim,,,51,,51
1046850684,chuckheffernan,2,2,25,,29
539237574,robertpearsonjr,25,4,,,29
4432266073,iltl2015,,17,6,,23
2734087717,CharityNewsUK,21,,,,21
76058560,Nikluk,10,3,3,3,19
331211313,CBSNewsPress,12,5,,,17
42958829,CBSEveningNews,,15,,,15
22707692,JonUPS_,2,7,6,,15
3307778821,GetUrSolution,,14,,,14
3212982333,usarelatednews,,13,,,13
15628214,GTak,8,4,,,12
191964162,SamLitzinger,10,2,,,12
1252882802,e140tweet,12,,,,12
334904865,theveteran019,9,2,,,11
31859316,AmazingPRMaven,7,3,,,10
1052930814,CountingCharity,4,6,,,10
266136066,David_Philipps,7,3,,,10
54982318,SlimShavings,,10,,,10
17580892,b140tweet,9,1,,,10
