author_id,username,n_replies,n_retweets,n_authored,n_quoted,n_quoting_replies,total
14419288,g4ogami,124,,,,,124
130479569,MrsTastic,14,84,,,,98
715850854943866881,GillJames54,,95,,,,95
98355836,Stingraytwo,4,75,4,,,83
2698589974,littlegreydog1,56,7,5,6,,74
142636808,robertwilkin,63,5,3,,,71
971315817358020608,DawnNeesom,37,5,7,11,,60
832297975699357696,Tatoconsulting,60,,,,,60
721263993,heidiEC5,,57,,,,57
43860320,gavinthegromit,56,,,,,56
17895820,Daily_Express,,,53,,,53
875647799366369282,KelitaBignall,51,,1,,,52
885565928729194496,MJ_Pearson29,47,2,,1,,50
4195131059,flowesaunders68,7,41,2,,,50
775651089899282432,shumbamutasa,44,6,,,,50
1275912780,BrigGeneralOdom,45,3,,,,48
1097806299981590529,Lorrain71909730,40,,8,,,48
1561448815,WritersofColour,,32,16,,,48
27013250,rammyrascal,10,37,1,,,48
1040308732352192512,mitcham_lewis,31,,7,4,3,45
