author_id,username,n_retweets,n_authored,n_replies,n_quoting_replies,n_quoted,total
350772690,braingarbage,254,11,2,2,,269
767,xeni,75,21,1,,14,111
826868576141377536,Blink2XAmerica,94,,,,,94
8622212,cindygallop,66,8,19,,,93
17175139,docfreeride,83,4,1,,1,89
591104006,arndt_eric,76,3,2,,,81
128163,dearsarah,10,,56,7,,73
805345210557493248,bethsinniresist,69,2,,,,71
1089304789,FisicosMuertos,34,1,27,,,62
253637278,_YvonneBurton,46,4,1,,11,62
14579229,jkohlmann,59,3,,,,62
15154811,phylogenomics,55,1,4,,2,62
51002583,DrRimmer,38,23,,,,61
116841782,wearaGDmask,56,1,,,,57
15069078,_aLFRe_,41,2,13,,,56
5952352,elvan,53,,,,,53
352441927,KyleSGibson,42,7,2,1,,52
771810098025037824,TechmemeChatter,51,,,,,51
47743935,avildsen,51,,,,,51
13900252,soultravelers3,50,1,,,,51
