author_id,username,n_authored,n_retweets,n_replies,n_quoted,n_quoting_replies,total
140163817,TwitJAKO,378,2,,,,380
289148078,RecentLatestVia,375,,,,,375
2726025501,leocullen4,1,195,,,,196
2901964056,DWPscumbags,40,35,120,,,195
222034168,RIGB2266,165,,,,,165
21867265,mottv,146,,,,,146
15821039,oxfamgb,3,3,124,1,1,132
808715419892797440,theelatestnews,128,,,,,128
27003847,davemasters,108,,,,,108
59396498,OxfamIntermon,6,,99,,1,106
4916221276,SteveGFry,35,52,12,6,,105
227421107,_i0n,11,19,72,3,,105
56921859,dbienaime,71,8,20,2,,101
714386061833728001,emet_news_press,98,,,,,98
16973333,Independent,95,,,,,95
3040347807,PickPosts,94,,,,,94
35054369,RobertJFBarnes,64,26,,2,,92
721263993,heidiEC5,2,89,,,,91
141627342,TulioNoticias,89,,,,,89
16308922,newhumanitarian,65,15,8,,,88
