author_id,username,n_retweets,n_authored,n_quoted,n_replies,total
194285805,itdosntmatr,37,3,,,40
4781209639,RclBD,,20,,,20
2809161682,BusinessNewzzz,,16,,,16
532381129,beautycrib_tv,,16,,,16
27003847,davemasters,,14,,,14
75732594,joseacontreras,,14,,,14
1052930814,CountingCharity,2,9,1,1,13
710958962024120322,DVvoiceAngry,,,,13,13
3212982333,usarelatednews,,13,,,13
2737015671,TheBrkNews,,12,,,12
1266323203,ArcticFox_am_I,11,,,,11
3180249827,Qrtr4Thoughts,11,,,,11
3014359959,Say_NOtoRINOS,,11,,,11
2979909976,XTribune,,11,,,11
290593287,mjtf47,11,,,,11
31859316,AmazingPRMaven,10,,,,10
42958829,CBSEveningNews,1,9,,,10
266136066,David_Philipps,6,4,,,10
322259193,ECIGCANADAZONE,,10,,,10
2425339875,I_luvgunz,,10,,,10
